"player","age","nationality","position","team","top5","minutes_90s","Fantasista","Sacrificio","Prendi_Falli","Bomber","Torre"
"Romain Del Castillo",27,"fr FRA","FW","Brest","True",27.7,2.39250858863735,1.58549618341273,1.3394141195145,0.358426943092341,-1.22403991661683
"Oumar Diakité",19,"ci CIV","FW","Reims","True",17.6,-0.683576296526639,-0.326138760049075,-0.245895903427319,0.482184566156301,0.377278945927254
"Aron Dønnum",25,"no NOR","FW,MF","Toulouse","True",17.7,0.036419059551681,0.876388156458887,1.16930844058114,-1.44629690794333,-0.39756266732689
"Emanuel Emegha",20,"nl NED","FW","Strasbourg","True",23.1,-1.61748705644941,-1.39113149256438,-0.37122278967243,0.737170084136479,0.633674805969086
"Khalil Fayad",19,"fr FRA","FW,MF","Montpellier","True",11.4,-1.20581121877804,1.14290281846501,1.84625780513326,0.635073373272764,-0.188470467388861
"Kévin Gameiro",36,"fr FRA","FW,MF","Strasbourg","True",15,0.987123074388917,-0.0272222599841672,-1.10786932422591,-0.519982328538706,-0.817588979946268
"Amine Gouiri",23,"dz ALG","FW,MF","Rennes","True",23,0.0300456301992655,0.0710985260637701,-0.119664903065868,-0.889775602159836,-0.305068114003866
"Evann Guessand",22,"ci CIV","FW","Nice","True",17.3,-0.692050403324634,-0.193717557020948,0.971745812907336,-0.688741349679799,0.489072187129101
"Junya Ito",30,"jp JPN","FW,MF","Reims","True",30.2,1.99920411760133,0.664836123697165,-1.10602088146871,-1.0666545286793,-0.686887815568001
"Eli Junior Kroupi",17,"fr FRA","FW,MF","Lorient","True",12,-0.94675103024661,-0.540119217355876,-1.41689752332415,1.09609725486021,0.0901676685198939
"Arnaud Kalimuendo",21,"fr FRA","FW","Rennes","True",23.8,-0.148419674483316,-0.942064924848173,1.00515834151711,0.470136776230479,-0.208393418742004
"Lee Kang-in",22,"kr KOR","FW,MF","Paris S-G","True",16.3,1.34173960187323,0.631470599364228,-1.23417587354069,0.00647786823391103,-0.968303342340541
"Reda Khadra",22,"de GER","FW,MF","Reims","True",15.2,0.273572530133475,0.587301737136222,-1.03866171443288,-0.665190608520267,-0.737450573591991
"Wahbi Khazri",32,"tn TUN","FW","Montpellier","True",12.6,-0.89455888820806,0.836445684181005,0.690074597761414,-1.4245553687752,-0.380742472472011
"Grejohn Kyei",27,"fr FRA","FW","Clermont Foot","True",11.4,-0.556262016788803,-0.954033476720633,-0.860499140858702,-1.51415188625815,1.07542496862075
"Gaëtan Laborde",29,"fr FRA","FW,MF","Nice","True",21.2,-0.258908904624517,-0.311427360134969,-1.45608549814061,-1.07624979163871,0.112245897791477
"Alexandre Lacazette",32,"fr FRA","FW","Lyon","True",25.5,-0.608479532376277,-0.90090533131582,0.0293165639409106,2.62799318665318,0.0465014040018873
"Mohamed Lamine Bayo",25,"gn GUI","FW","Le Havre","True",15.4,-0.723473514436948,-0.987663530911741,-0.964140313939132,-0.912178450081397,0.62323396204023
"Jérémy Le Douaron",25,"fr FRA","FW","Brest","True",18,-0.903824129453591,-0.074615288621842,0.0958500366132325,-1.04568902928883,0.900628090824777
"Frank Magri",23,"cm CMR","FW,MF","Toulouse","True",16,-0.835530623814229,0.182004255473619,0.189568141564546,-0.18533014465725,0.485417296265205
"Kylian Mbappé",24,"fr FRA","FW","Paris S-G","True",24,1.09638930711759,-0.767245556371112,0.154605324422128,1.98834321042439,-0.778326414260213
"Georges Mikautadze",22,"ge GEO","FW","Metz","True",19.4,-0.750126331897735,0.0148105155170074,0.435581633618029,1.3940446353252,-0.243667346748064
"Terem Moffi",24,"ng NGA","FW","Nice","True",21.7,-0.837249802471885,-1.30451316614818,-0.607037744694538,1.1323935586155,0.156509078978883
"Mostafa Mohamed",25,"eg EGY","FW","Nantes","True",22.2,-0.923858785209254,-0.645289516901831,-0.663286956827734,-0.496081182227304,0.934666870853288
"Steve Mounié",28,"bj BEN","FW","Brest","True",19.7,-1.07214322938839,-1.15515525653112,-0.406944213650627,-0.419121099932623,2.78842780545129
"Keito Nakamura",23,"jp JPN","FW,MF","Reims","True",15.3,0.0308016761890951,0.326196011226791,-1.46710519949731,-0.634669111622602,-0.468419885160664
"Iliman Ndiaye",23,"sn SEN","FW,MF","Marseille","True",18,0.416054282655134,1.49213964792633,0.330734986356599,-0.894359251097801,-0.608890119799022
"Shamar Nicholson",26,"jm JAM","FW","Clermont Foot","True",16.5,-0.57039154521939,-0.88726843514175,0.137457570303913,-0.316311150005795,0.766011262560591
"Arnaud Nordin",25,"fr FRA","FW,MF","Montpellier","True",13.8,0.463630449021436,0.361580897787955,1.90280322832463,0.584776294855778,-0.413660751239379
"Ernest Nuamah",19,"gh GHA","FW,MF","Lyon","True",20.4,0.841429831837529,0.671641600456161,0.199624393007984,-0.579613086397886,-0.197956039930835
