"player","age","nationality","position","team","top5","minutes_90s","Fantasista","Sacrificio","Prendi_Falli","Bomber","Torre"
"Geoffry Hairemans",31,"be BEL","FW,MF","Mechelen","False",23.1,1.54706631809255,1.84728787640257,-0.473033218867957,-0.134768099600806,-0.332493225797543
"George Ilenikhena",16,"fr FRA","FW","Antwerp","False",10.8,-0.883189790580241,-1.8494843824679,0.344851562033139,1.81724177164668,0.699191175824476
"Vincent Janssen",29,"nl NED","FW,MF","Antwerp","False",25.6,0.439004729169146,-0.190033685089517,0.682636625313057,0.735017264889924,-0.170786802082224
"Jutglà",24,"es ESP","FW","Club Brugge","False",13.7,0.577969249227416,-0.27941401803372,0.989082905654048,-0.175603590172927,0.291379890572207
"Wilfried Kanga",25,"ci CIV","FW","Standard Liège","False",25.7,-0.761529721552652,-1.46103541001151,-0.363063881968704,0.499600122858454,0.631059355310876
"Fatih Kaya",23,"0","FW","Sint-Truiden","False",13,-0.578305906896628,-0.796928602523871,0.136240489508239,-2.73928660248596,0.884728731016373
"Lion Lauberbach",25,"de GER","FW","Mechelen","False",19.2,-0.887322122071227,-0.493829229402271,-1.21157982028468,-1.92088591258682,1.13990514355469
"Alan Minda",20,"ec ECU","FW,MF","Cercle Brugge","False",16.8,-0.133173920079292,-0.471617032427448,-1.05830154631837,0.713342247436005,-0.245736515929447
"Arbnor Muja",24,"al ALB","FW,MF","Antwerp","False",13.4,0.772501547686032,0.403592018488598,-1.23064444541358,-0.0594980127222809,-0.702594979371514
"Gustaf Nilsson",26,"se SWE","FW","Union SG","False",16.1,-0.121628559656518,-0.506900958970119,0.00670899211802214,0.907609244326431,0.46012732945689
"Nachon Nsingi",22,"be BEL","FW,MF","OH Leuven","False",13.5,-0.352448959859317,-0.0352475112108642,0.116371974367976,-0.713872110709389,0.0149279545734117
"Isaac Nuhu",21,"gh GHA","FW,MF","Eupen","False",25.3,-0.600201184024689,0.437337377973044,0.345601129054425,-0.899863807780489,-0.220029854829203
"Antonio Nusa",18,"no NOR","FW,MF","Club Brugge","False",11.2,1.67348628656355,1.8301973411573,0.473276777162793,-0.954946899491504,-0.951611439575259
"Joseph Paintsil",25,"gh GHA","FW","Genk","False",19.8,1.58690905960871,0.747782170058705,0.0173838939623537,0.0785108707594864,-0.768819418221099
"Andreas Skov Olsen",23,"dk DEN","FW","Club Brugge","False",23.6,1.92560223002677,1.42380520784969,-1.0347638023714,0.102918495573703,-1.25784192206518
"Thibo Somers",24,"be BEL","FW,MF","Cercle Brugge","False",25.5,-0.175683210497029,0.759033052187703,0.42992943731334,-0.262295334551909,0.963737007364003
"Yira Sor",23,"ng NGA","FW","Genk","False",11.9,0.196442746811801,-0.562655984383644,-0.818157442293504,0.196375786749709,0.267798073296772
"Kamal Sowah",23,"gh GHA","FW,MF","Standard Liège","False",13.6,0.105009259278366,1.25347960798683,-1.31567481756466,-1.08873245303518,-0.511340168926552
"Thiago",22,"br BRA","FW","Club Brugge","False",20.4,-0.2725090801145,-0.604154958308157,0.197444963424606,1.55445886627535,0.657819239047691
"Tarik Tissoudali",30,"ma MAR","FW,MF","Gent","False",17.1,1.09188509740208,0.0835264271442343,-1.44864259832676,0.652511673618067,-0.477623174984209
"Griffin Yow",20,"us USA","FW,MF","Westerlo","False",16.7,-0.597777912001584,0.431259471356346,1.22283735524453,0.393562644824811,-0.430271515758256
"Philip Zinckernagel",28,"dk DEN","FW,MF","Club Brugge","False",16.8,0.983391766079266,0.640377439555256,-0.198020324548517,-0.0249366465883098,-0.620949739108909
"Che Adams",27,"sct SCO","FW","Southampton","False",25.4,0.0946997201830027,-0.654238562871185,-0.693514626712538,1.50608497207087,-0.27739679701876
"Keshi Anderson",28,"eng ENG","FW,MF","Birmingham City","False",11.3,1.26860822968925,1.58863902560026,0.592314578338492,-2.40861096294749,-0.589188101647755
"Adam Armstrong",26,"eng ENG","FW,MF","Southampton","False",41.6,0.37918961544746,-0.794807632324201,-0.815563182784195,0.167498355416434,-0.291945547825786
"Sinclair Armstrong",20,"ie IRL","FW","QPR","False",19.8,-0.865091130212715,-1.13402984618832,-0.931586520140708,-0.616149752049413,0.635781762580395
"Yaser Asprilla",19,"co COL","FW,MF","Watford","False",30.4,1.52948528821081,1.31253025615922,-0.447496827460388,-0.783751715130502,-0.993732045105531
"Juninho Bacuna",25,"cw CUW","FW,MF","Birmingham City","False",33,0.410497975635589,1.62038579362152,-0.460805440316758,-0.747865245400492,-0.592126643532026
"Patrick Bamford",29,"eng ENG","FW,MF","Leeds United","False",16.6,-0.890562411103015,-0.682214987030306,-0.260594345732491,0.317597053530302,0.180675474890188
"Josh Bowler",24,"eng ENG","FW,MF","Cardiff City","False",26.4,-0.616769302684128,0.856933756257471,0.302712465054298,-0.235623733809046,-0.761404530479085
"Tom Bradshaw",31,"wls WAL","FW","Millwall","False",22.3,-0.999797095918245,-1.24369319542306,-0.304993665491778,-0.289656850818065,0.90170672011959
"Nathan Broadhead",25,"wls WAL","FW","Ipswich Town","False",25.5,0.353481232301121,0.599040553601286,-1.0507954813598,0.967725662651856,-0.831309705761093
"Mustapha Bundu",26,"sl SLE","FW,MF","Plymouth Argyle","False",10.7,-0.260800828196627,-0.0854996995522236,0.396113201065872,-0.0548776567019919,0.353311107108735
"Delano Burgzorg",24,"nl NED","FW","Huddersfield","False",24.5,-0.49524689111524,-0.516754093300559,1.15108706960747,0.0906963449642357,-0.428566429307085
"Oliver Burke",26,"sct SCO","FW,MF","Birmingham City","False",11.2,-0.706108256965307,0.3829288682931,-1.42939318736906,-1.77472731813158,0.739933210536567
"Wes Burns",28,"wls WAL","FW","Ipswich Town","False",26.5,1.07740381456813,0.418121266696718,0.345836749609474,-0.329154708555089,-0.267525843725561
"Bailey-Tye Cadamarteri",18,"jm JAM","FW","Sheffield Weds","False",12.2,-1.31696591424741,-1.57674376962116,0.00370615184874358,0.452266406162267,0.963829347236015
"Tyrese Campbell",23,"eng ENG","FW","Stoke City","False",13.3,0.0792105403900565,-0.743879908484814,-0.450877422207656,-1.24282581194466,-0.0508996159439188
"Fabio Carvalho",20,"pt POR","FW,MF","Hull City","False",19.1,0.800848154687219,0.450282649498794,0.534394709506914,1.55053822134622,-0.788438721509722
"Ilias Chair",25,"ma MAR","FW,MF","QPR","False",41.5,1.06084696981969,1.55844771012442,-0.119393604704308,-0.854230594082886,-1.18850753246704
"Josh Coburn",20,"eng ENG","FW","Middlesbrough","False",11.1,-0.885522949199606,-1.04396034636797,0.383275374788855,0.968422919832804,0.497764879589752
"Aaron Connolly",23,"ie IRL","FW","Hull City","False",13.5,-0.924096886246307,-0.8521215254275,0.257074044449266,1.25587416039852,-0.0862591315435599
"Tommy Conway",20,"sct SCO","FW","Bristol City","False",25.4,-0.556679634648754,-0.992534066814512,-0.657011161644998,0.275454704589017,-0.0628998889349073
"Harry Cornick",28,"eng ENG","FW,MF","Bristol City","False",12.2,-0.124088759094259,0.0910447675501036,-1.3768261226374,-0.17301263080402,0.614101461634872
"Liam Cullen",24,"wls WAL","FW,MF","Swansea City","False",26.4,-0.339683261615587,-0.140105689133691,-0.780501610747848,-0.0337598066719756,-0.0568590308986803
"Patson Daka",24,"zm ZAM","FW","Leicester City","False",12.1,-0.313882946379992,-1.05336265794718,0.211754014688303,0.149425111516032,0.166754816203279
"Liam Delap",20,"eng ENG","FW","Hull City","False",24.5,-0.181617349507485,-0.622265713250518,0.756349188341003,0.31992429059286,-0.311449007086331
"Siriki Dembélé",26,"ci CIV","FW,MF","Birmingham City","False",22,0.635529895425105,1.49795705011718,0.333058389430799,0.32712571782113,-1.062069866669
"Tyrhys Dolan",21,"eng ENG","FW,MF","Blackburn","False",25.8,0.658939678521066,0.939053755896387,-0.966746398599932,0.230826964398224,-0.865956198346205
"Lyndon Dykes",27,"sct SCO","FW,MF","QPR","False",30.4,-1.06067727702765,-0.292841445735411,-0.844487055452826,-0.54630930416181,1.55983275969893
"Tom Eaves",31,"eng ENG","FW","Rotherham Utd","False",11.8,-1.21872596331447,-1.31252366653037,-0.430338070807146,0.472293649561757,1.93529094797645
"Samuel Edozie",20,"eng ENG","FW,MF","Southampton","False",15.2,1.14512482404337,-0.156732564105238,0.0484852412369211,1.80131698236145,-0.755579356417275
"Kion Etete",21,"eng ENG","FW","Cardiff City","False",12.1,-0.917938402704939,0.502268782056716,1.39113342268771,-0.523995520250101,1.01412111455034
"Christian Fassnacht",29,"ch SUI","FW,MF","Norwich City","False",20.2,-0.547707436090144,0.764647839912765,-1.069934907857,0.383519368076367,-0.0472925895710296
"Abdul Fatawu Issahaku",19,"gh GHA","FW","Leicester City","False",31.3,1.71508854335785,1.0261762621673,-0.236382953054009,-0.317534871495929,-0.70765696948254
"Tom Fellows",20,"eng ENG","FW,MF","West Brom","False",16.6,0.837800460726423,-0.579642791713475,0.933208875785585,1.23097226119603,-0.578724653558661
"Zian Flemming",24,"nl NED","FW,MF","Millwall","False",41,-0.426001939056223,0.219087026182059,0.515360566010234,-0.586935813635717,0.0268261775293157
"Marcus Forss",24,"fi FIN","FW","Middlesbrough","False",12.4,-0.344910513101919,-1.06943995034171,-1.45162251109302,0.895228579426434,-0.161010954782208
"Ryan Fraser",29,"sct SCO","FW,MF","Southampton","False",18.1,1.69030453269031,-0.195444779077072,-0.213195940940121,0.213458240395417,-0.838915851581868
"Sam Gallagher",27,"eng ENG","FW,MF","Blackburn","False",19.1,-0.957951685716812,-0.994216756554842,-1.00273638371105,-0.333495709906279,1.59161784757901
"Djeidi Gassama",19,"fr FRA","FW,MF","Sheffield Weds","False",16.4,-0.442286390726372,1.32721702129099,1.60544431547547,-0.556743298345298,-0.445902512827559
"Wilfried Gnonto",19,"it ITA","FW,MF","Leeds United","False",18.4,0.73097266858969,0.446208669022787,1.30648919033742,0.644619914566252,-0.578598241655779
"Matthew Godden",32,"eng ENG","FW","Coventry City","False",22.7,-0.828193676020516,-0.997321086463988,-1.3740339912206,-0.0325344820648136,0.269124202947174
"Karlan Grant",25,"eng ENG","FW,MF","Cardiff City","False",34.7,-0.6431922904646,0.811456459207405,-0.591111124955109,-0.321740017319138,-0.581172419175503
"Ryan Hardie",26,"sct SCO","FW","Plymouth Argyle","False",31.5,-0.927292371412779,-1.44181254324178,-1.11025556275493,0.567449035965401,0.368154311591292
"Marcus Harness",27,"eng ENG","FW,MF","Ipswich Town","False",10.9,0.444002404720305,1.1276719585333,-1.31859177907905,0.0674314696770534,-0.117247322794787
"Onel Hernández",30,"cu CUB","FW,MF","Norwich City","False",13.2,0.715646979088039,1.6210045355393,0.590100130771741,-2.97344498920128,-0.517715032356104
"George Hirst",24,"eng ENG","FW","Ipswich Town","False",19.6,-0.412760876037449,-1.39002145387714,-1.06387526064417,0.39500784393981,0.47596143643092
"Scott Hogan",31,"ie IRL","FW","Birmingham City","False",11.2,-1.02530419557835,-0.8267204418657,-0.810706593287714,-1.11468487682406,0.720709941876236
"Jordan Hugill",31,"eng ENG","FW","Rotherham Utd","False",25.9,-1.07892883131086,-1.2609824401004,0.925674308909739,0.842884453527581,2.06126257879623
"Omari Hutchinson",19,"eng ENG","FW,MF","Ipswich Town","False",24.4,0.95014082619935,0.825642080498195,-0.2426126788536,0.451565683700233,-0.821801757420596
"Adam Idah",22,"ie IRL","FW","Norwich City","False",14.2,-0.842494618279698,-0.895741740205315,-1.02246472289877,1.55169397381316,0.0856465125755925
"Kelechi Iheanacho",26,"ng NGA","FW","Leicester City","False",10.2,0.222112335037256,-1.10475359454094,-0.739499113459373,-0.094856239187367,-0.240790998215763
"Vakoun Issouf Bayo",26,"ci CIV","FW","Watford","False",24.7,-0.646236224971781,-0.748086786466133,-1.12915783972289,-0.178918941503972,0.530260408619013
"Kayden Jackson",29,"eng ENG","FW","Ipswich Town","False",10.7,-0.0264410477587182,-0.0666391031255714,-0.73006555102071,1.10200417444897,0.237875115154229
"Daniel James",25,"wls WAL","FW","Leeds United","False",27.6,0.88324175893036,0.180241128325247,0.49164484694047,0.64992081337749,-0.686144799550807
"Isaiah Jones",24,"eng ENG","FW","Middlesbrough","False",28.7,0.548965400320247,0.406660154883334,1.53890465479809,0.542245620138299,-0.35088186178311
"Bae Junho",19,"kr KOR","FW,MF","Stoke City","False",26.6,0.862908485892248,1.35875879902963,0.364794191529456,-0.981122210098578,-0.649273906792032
"Will Keane",30,"ie IRL","FW,MF","Preston","False",29,-1.31087344278658,-0.560457447890045,-0.995797443896543,2.28288593747083,0.12329914575206
"Josh Koroma",24,"sl SLE","FW,MF","Huddersfield","False",26.9,-0.358759037087888,0.348717212514915,-0.148357461182339,-0.950063444567827,-0.176723446767211
"Emmanuel Latte Lath",24,"ci CIV","FW","Middlesbrough","False",23.2,-1.09456536501182,-1.34129338845971,-0.0294043053642071,1.73189772849198,0.281029869853039
"Mehdi Léris",25,"dz ALG","FW,MF","Stoke City","False",17.6,-0.220740699568939,0.963023811221543,-0.507274544713863,-0.59238516571445,0.913592190916576
"Jamal Lowe",29,"jm JAM","FW,MF","Swansea City","False",25,-0.761015156831646,0.238017431156262,-0.968102034268675,0.369013855013659,-0.138946662416933
"Matheus Martins",20,"br BRA","FW,MF","Watford","False",19.6,0.82911214641972,1.01559259145987,0.426106584596152,-0.670590368210306,-0.997625587141481
"Stephy Mavididi",25,"eng ENG","FW","Leicester City","False",39.9,1.04958520762152,0.886063407184378,-0.347489541625133,-0.0886985393648568,-0.833717368595842
"Kasey McAteer",21,"eng ENG","FW","Leicester City","False",12.9,-0.255665619922223,0.305957880736904,-0.281170388245459,0.762189939937661,0.0108167665898084
"Riley McGree",24,"au AUS","FW,MF","Middlesbrough","False",14,-0.0517387790875216,0.861743156204305,-0.882890465569995,-0.0656342778900638,-0.800105535297459
"Yakou Méïte",27,"ci CIV","FW","Cardiff City","False",23.9,-1.17526131965889,-1.08041239092831,0.00379745272432847,-1.10368729551005,2.13766791087437
"Koji Miyoshi",26,"jp JPN","FW,MF","Birmingham City","False",27.7,0.744014276884015,0.982533851732609,-0.643053191157249,-0.516659718589331,-0.649464587868289
"Ryan Mmaee",25,"ma MAR","FW","Stoke City","False",16.7,-0.337310139530897,-0.729367743251804,0.665227869763577,-1.45521100611485,0.579526664142666
"Andrew Moran",19,"ie IRL","FW,MF","Blackburn","False",20.6,0.822083196575651,1.15789771961127,0.0273895125444785,-0.944673211904343,-0.710945722470135
"Anthony Musaba",22,"nl NED","FW,MF","Sheffield Weds","False",29.1,-0.42554459556051,0.0164110917591276,-1.05488184677679,0.285253105361957,-0.291352239831486
"Kevin Nisbet",26,"sct SCO","FW","Millwall","False",15.5,-1.01553194333886,-0.731015507256512,-1.04971253076557,0.101735904263574,0.633543741166106
"Sam Nombe",24,"eng ENG","FW,MF","Rotherham Utd","False",25.2,-1.17350573502757,-0.602325997409359,-0.147951989119629,-0.344680864948359,0.743949950353311
"Milutin Osmajić",24,"me MNE","FW","Preston","False",19.4,-1.49871747237685,-0.987799098690264,0.161575547571032,2.24450114373531,0.216207898713227
"Jaden Philogene Bidace",21,"eng ENG","FW,MF","Hull City","False",31.2,0.517275760617843,0.825135390030914,0.843302974779228,-0.0375157719390748,-0.943408861923229
"Mileta Rajovic",24,"dk DEN","FW","Watford","False",20.6,-1.13303093199192,-1.01032587638077,-1.15873615647591,1.29310616687818,0.717411407784681
"Emil Riis Jakobsen",25,"dk DEN","FW","Preston","False",14.3,-0.968607025924958,-1.12619905185243,-0.582918885963383,1.84897735521505,0.412182526859772
"Jon Rowe",20,"eng ENG","FW,MF","Norwich City","False",22.7,-0.345810774990656,0.368672727665127,0.804225646489974,1.36200660233055,-0.500348235350759
"Georginio Rutter",21,"fr FRA","FW,MF","Leeds United","False",41.5,1.22775612137807,0.599532414755166,0.782219438377459,-1.71490738150633,-0.19407619360796
"Borja Sainz",22,"es ESP","FW","Norwich City","False",22.8,-0.222551502675614,1.89783741659576,-0.0654070799933847,-0.279180565432917,-0.867820731537592
"Josh Sargent",23,"us USA","FW","Norwich City","False",20.6,-0.162696709940531,-1.08096162458456,1.27904864056502,2.04458543410746,-0.102382236520871
"Ken Sema",29,"se SWE","FW,MF","Watford","False",22.3,1.08027718326552,0.620088184160936,-0.397730077136522,-0.822675423013448,-0.698650016874793
"Arnór Sigurðsson",24,"is ISL","FW,MF","Blackburn","False",16.2,0.116578493451892,0.215203317478694,-0.981831458461562,0.875597871626424,-0.504256831544311
"Sam Silvera",22,"au AUS","FW","Middlesbrough","False",15.2,-0.0986752009094504,0.776727535646846,-0.824642099705547,-0.395817579849938,-0.730071654722028
"Ellis Simms",22,"eng ENG","FW","Coventry City","False",30.3,-0.901760260811749,-1.26154987004489,-0.464728209889586,0.7028575169631,0.359626123999623
"Michael Smith",31,"eng ENG","FW,MF","Sheffield Weds","False",13.7,-0.954822017293486,-1.13439432704166,-0.051264589246559,0.518531509056972,1.87769631714423
"Paul Smyth",25,"nir NIR","FW,MF","QPR","False",24.3,-0.72250184844495,0.544007320380544,1.28425208923089,-0.90688412707596,0.000222617277518818
"Jay Stansfield",20,"eng ENG","FW,MF","Birmingham City","False",37.1,-0.595158110088753,-0.478793876391177,-1.04674436638867,0.551301680561256,-0.40672739121467
"Kamaldeen Sulemana",21,"gh GHA","FW,MF","Southampton","False",10.6,0.263725370358818,0.651682710555948,0.015267500838266,-1.65917872815819,0.128830196189113
"Crysencio Summerville",21,"nl NED","FW","Leeds United","False",38.9,1.84526380466596,0.457967627668922,1.0077268868296,0.238165072902036,-0.818470161107694
"Mark Sykes",25,"ie IRL","FW,MF","Bristol City","False",28.7,-0.164085303521378,1.10348136545039,0.03097713926256,0.114519449154255,-0.339585061029202
"Sorba Thomas",23,"wls WAL","FW,MF","Huddersfield","False",38.1,1.57122517158857,1.30571973100554,-0.341907014195803,-0.26301959686413,-1.13130451610349
"Brandon Thomas-Asante",24,"gh GHA","FW","West Brom","False",30.4,-1.10112073852746,-0.435147349198493,-0.60522690973361,0.291950885836985,-0.0232811073185552
"Adama Traoré",28,"ml MLI","FW,MF","Hull City","False",11.9,0.069922351529145,0.817126979498117,0.00894440069994881,-0.370773815413864,-0.6373225415505
"Jamie Vardy",36,"eng ENG","FW","Leicester City","False",19.6,-0.596600540213419,-1.43958000967162,-0.202817024981857,2.25873148725685,0.357975159295652
"André Vidigal",24,"pt POR","FW,MF","Stoke City","False",18.7,-0.50817969048787,-0.255503722905733,-0.88902419492298,0.156757521182554,-0.544020259551038
"Ben Waine",22,"nz NZL","FW","Plymouth Argyle","False",10.2,-1.21682355414404,-0.915808087528133,-0.653507108931274,-0.641576830788984,1.1368609615983
"Jed Wallace",29,"eng ENG","FW,MF","West Brom","False",31.3,0.0266763903613485,0.272651623353522,-0.32397077353451,0.406141025442976,-0.540494573823392
"Danny Ward",31,"eng ENG","FW","Huddersfield","False",12.7,-1.33582799396732,-1.52974725607418,-1.37664877085647,-0.311780995283368,0.977178708643056
"Nahki Wells",33,"bm BER","FW","Bristol City","False",16.9,-0.0742020368211242,-0.0863242330179819,-0.924100808940432,0.292466539192423,0.336933185721131
"Morgan Whittaker",22,"eng ENG","FW,MF","Plymouth Argyle","False",44.1,0.179070603046064,0.464646509137625,-0.424651300799785,0.715867365088633,-1.14455666637745
"Chris Willock",25,"eng ENG","FW,MF","QPR","False",25.5,0.176248861697385,1.25602609512058,-0.122083812901258,-0.730021908973102,-0.913670310877586
"Haji Wright",25,"us USA","FW,MF","Coventry City","False",33,-0.680594746777954,-0.565390973916136,-0.157770735102743,0.0779371623922918,0.470486728697686
"Jerry Yates",26,"eng ENG","FW","Swansea City","False",25.4,-1.04390313459139,-1.03500264161001,-0.695021792138432,1.3463982156032,0.300333541173793
"Bobby Adekanye",24,"nl NED","FW","Go Ahead Eag","False",20,0.491373528095805,0.75015018830824,1.27502187723965,-2.26557751230561,-0.450402729229715
"Chuba Akpom",27,"eng ENG","FW,MF","Ajax","False",11.7,0.107092647361361,-0.381421030109517,-0.498277705114622,1.71455230646519,0.565663087983393
"Pelle van Amersfoort",27,"nl NED","FW","Heerenveen","False",23.7,-0.617122490722278,-1.22794493062703,-1.02052211619656,0.0550178502042184,1.20627552114691
"Thibo Baeten",21,"be BEL","FW,MF","Go Ahead Eag","False",10.1,-0.00528847683311052,0.0366140228129533,1.15147247347232,-1.38427272476913,0.340767379489589
"Johan Bakayoko",20,"be BEL","FW","PSV Eindhoven","False",27.7,2.33368905124212,0.554024142399799,-0.94994426757126,0.243197622222457,-1.09169375484722
"Steven Berghuis",31,"nl NED","FW,MF","Ajax","False",16,3.15965664635968,0.645260620644922,-1.30797230275783,-0.520909008183003,-1.18209596453998
"Steven Bergwijn",25,"nl NED","FW,MF","Ajax","False",21.6,1.81659552545948,0.25577766765068,-0.438655090829906,0.281671092866785,-0.918582564990928
"Ruben van Bommel",18,"nl NED","FW","AZ Alkmaar","False",17.2,0.427816816538577,0.332163810627864,-0.32588504290507,0.845487412932411,-0.564241332173503
"Othman Boussaid",23,"be BEL","FW","Utrecht","False",21.9,1.65350283029532,1.82895516452921,-0.792092460522496,-0.37064791549317,-1.26148511241976
"Amine Boutrah",22,"fr FRA","FW","Vitesse","False",20.2,0.381307127436743,1.20530455100705,-0.552472419659946,-1.08585009299869,-0.701426347929549
"Myron van Brederode",20,"nl NED","FW","AZ Alkmaar","False",14.6,1.32041610008366,1.54657149049291,-0.779706492516732,-0.115984320124251,-1.22061487209082
"Jakob Breum",19,"dk DEN","FW","Go Ahead Eag","False",16.1,0.615601538429211,1.26392752363267,1.31078050761359,-1.20868033598612,-0.621507634311553
"Brian Brobbey",21,"nl NED","FW","Ajax","False",26.7,0.686943849183814,-1.58355351643549,1.25676916858843,1.74424469700559,0.482592213711447
"Charles-Andréas Brym",24,"ca CAN","FW,MF","Sparta R'dam","False",15.3,0.228748713627035,0.752611699571918,0.749652340073291,0.0190480551715829,-0.248067241149223
"Denilho Cleonise",21,"nl NED","FW,MF","RKC Waalwijk","False",20,0.157946800358891,0.510294977765629,0.364342421116778,-1.48780886704857,-0.562166119236124
"Iñigo Córdoba",26,"es ESP","FW,MF","Fortuna Sittard","False",29.2,0.567601887343146,2.21665067011839,0.181260524658898,-1.12681901026858,-0.219747144710513
"Couhaib Driouech",21,"ma MAR","FW,MF","Excelsior","False",21.3,0.805830025772439,1.78050265283948,-0.363379510298815,-0.0205534093455691,-0.857553506817361
"Oliver Edvardsen",24,"no NOR","FW,MF","Go Ahead Eag","False",26.1,-0.114726079639558,0.664214977395082,0.97237911242079,-0.0249163400880797,-0.498035019719687
"Victor Edvardsen",27,"se SWE","FW","Go Ahead Eag","False",20.3,-0.390908805032841,-1.00585935528261,-0.318640849474022,-0.531248853743332,0.156961129148949
"Mario Engels",29,"de GER","FW,MF","Heracles Almelo","False",17.8,-0.439441953812852,-0.299998884231975,-0.911394316381834,0.965373037711467,-0.37228814041618
"Derensili Fernandes",22,"nl NED","FW,MF","Excelsior","False",14.3,0.776853401352836,0.879352473494942,-0.0607570850515946,0.443883156525433,-0.897788638293743
"Santiago Giménez",22,"mx MEX","FW","Feyenoord","False",26.3,-0.246458924035097,-0.972656168273038,1.00257311073736,1.89422126737266,-0.0621123005092354
"Roberto González",22,"es ESP","FW,MF","NEC Nijmegen","False",15.4,-0.0911031068234767,0.648429859787037,1.35907038683231,0.170043381020921,-0.482654035905024
"Kornelius Hansen",22,"no NOR","FW","Almere City","False",15.4,-0.242748572140484,-0.431581043170492,0.659682319539314,-0.204784209611667,-0.00239402600529299
"Sontje Hansen",21,"nl NED","FW","NEC Nijmegen","False",21.2,0.724985698895857,0.453293971164458,0.652433362786353,0.961519914467811,-0.644249456574791
"Emil Hansson",25,"se SWE","FW,MF","Heracles Almelo","False",20.9,0.868189199020611,1.32418879218735,-1.4077467785864,-0.0172315325310781,-0.955185982926138
"Luka Ivanušec",24,"hr CRO","FW","Feyenoord","False",12.9,2.76801817867445,1.03487104603356,-1.33562802724499,-0.413871410120909,-1.22894121046782
"Darius Johnson",23,"gd GRN","FW,MF","Volendam","False",13.3,-0.408715269994377,0.0790359699687973,0.179587906169035,-0.868803529055501,-0.20728481925002
"Luuk de Jong",32,"nl NED","FW","PSV Eindhoven","False",30.6,1.09528795906816,-0.902083495699226,-0.740272819783205,1.25703880560421,0.81536115066175
"Michiel Kramer",34,"nl NED","FW","RKC Waalwijk","False",20.3,-0.703724747071926,-1.31599838506877,-1.32069427392296,0.50343912404586,1.11142865823292
"Rajiv van La Parra",32,"nl NED","FW,MF","Almere City","False",20,-0.606904220597683,0.706766629075209,1.89109232771249,-1.21085287103723,0.597030653521398
"Lazaros Lamprou",25,"gr GRE","FW,MF","Excelsior","False",18,0.350257095039675,0.456127820455832,-0.581191551386184,-0.147170481308647,-0.384406897936292
"Tobias Lauritsen",25,"no NOR","FW","Sparta R'dam","False",27.6,0.0395718961731526,-0.977325484082648,0.280802338418602,0.37324487094835,2.25737195150328
"Isac Lidberg",24,"se SWE","FW","Utrecht","False",10.5,-1.24982908251994,-1.17418997524155,1.140675680166,0.26275314583476,1.12537565521952
"Bryan Limbombe",22,"be BEL","FW,MF","Heracles Almelo","False",19.3,-0.583890374704108,0.343204411138768,1.20246487625648,-0.872365656332081,-0.118098452330944
"Chris Lokesa",18,"be BEL","FW,MF","RKC Waalwijk","False",22.9,-0.219801075187224,1.03518661660381,-0.462599072225812,-2.28077493290934,-0.411138350364113
"Hirving Lozano",28,"mx MEX","FW","PSV Eindhoven","False",17.1,2.1112109263834,0.853099710181529,-0.112390431173357,-0.890212777590369,-0.810819401269368
"David Min",24,"nl NED","FW","RKC Waalwijk","False",18.4,-0.616511888490775,-0.243568144020007,-0.30664261141052,0.754568031733439,-0.0717840916504884
"Yankuba Minteh",19,"gm GAM","FW","Feyenoord","False",16.2,1.78451703730233,0.36057245788038,-0.66383431058032,0.827379576077078,-0.620316102886399
"Robert Mühren",34,"nl NED","FW","Volendam","False",16.5,-1.04406585500141,-1.27309474993561,-1.10139406818302,1.17777491268793,0.438046364079464
"Younes Namli",29,"dk DEN","FW,MF","Zwolle","False",28.5,1.74585487310823,1.28085918022639,-0.0146871602850799,-0.737842060280124,-1.27675548078547
"Camiel Neghli",21,"nl NED","FW","Sparta R'dam","False",15,0.838478696066734,0.866272810952105,-1.04719116746029,0.682270877093308,-1.09070849690923
"Ché Nunnely",24,"nl NED","FW","Heerenveen","False",19,-0.405998264774103,-0.0377865832658918,-0.967352926246869,-0.951935153844102,-0.397503119939745
"Koki Ogawa",25,"jp JPN","FW","NEC Nijmegen","False",24.5,-1.36077475470036,-1.36985896153738,-0.769331683899686,0.959317559557843,0.710183836520129
"Bilal Ould-Chikh",26,"ma MAR","FW,MF","Volendam","False",23.6,0.395924283350312,0.845485507642167,-0.355578639517656,-0.205022816953982,-1.22022116388511
"Igor Paixão",23,"br BRA","FW","Feyenoord","False",21.4,1.44204274555157,0.212492088313096,1.29279699901892,0.141439601732524,-0.660442391777345
"Troy Parrott",21,"ie IRL","FW","Excelsior","False",17.6,-0.328461449228157,-0.695264030558891,0.465348425936668,1.01357976162677,0.250029955481801
"Vangelis Pavlidis",24,"gr GRE","FW","AZ Alkmaar","False",33.3,0.349701644230662,-0.553487256832328,-0.653160146531919,2.20685631271257,0.0593910187778954
"Gyan de Regt",20,"nl NED","FW,MF","Vitesse","False",13.2,-0.208255518539343,0.291767800588641,0.0671335539472757,-1.27569420532269,0.216798799001785
"Thomas Robinet",26,"fr FRA","FW,MF","Almere City","False",31.7,-0.801103831187817,-0.0560530541136512,-0.892943045751431,0.577202824075208,0.95265968953793
"Daan Rots",22,"nl NED","FW","Twente","False",28.6,1.30103919145399,1.23130484853239,-0.210601972841293,0.183854839349416,-0.74208322382611
