player,age,nationality,position,team,top5,minutes_90s,Creativo = Low,Creativo = Average,Creativo = High,Fulcro_di_Gioco = Low,Fulcro_di_Gioco = Average,Fulcro_di_Gioco = High,Lunga_Gittata = Low,Lunga_Gittata = Average,Lunga_Gittata = High,Incontrista = Low,Incontrista = Average,Incontrista = High,Cinico = Low,Cinico = Average,Cinico = High
Lucas Tousart,26,fr FRA,MF,Union Berlin,True,17.5,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
Ruben Vargas,24,ch SUI,"MF,FW",Augsburg,True,21.8,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
Aster Vranckx,20,be BEL,MF,Wolfsburg,True,12.8,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Luca Waldschmidt,27,de GER,"MF,FW",Köln,True,12.7,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
Julian Weigl,27,de GER,MF,Gladbach,True,30.7,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
Florian Wirtz,20,de GER,MF,Leverkusen,True,26.4,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
Granit Xhaka,30,ch SUI,MF,Leverkusen,True,31.3,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
Ilias Akhomach,19,ma MAR,"MF,FW",Villarreal,True,16.8,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Rubén Alcaraz,32,es ESP,MF,Cádiz,True,34.8,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Iván Alejo,28,es ESP,MF,Cádiz,True,18.8,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False
Carles Aleñá,25,es ESP,MF,Getafe,True,11.3,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
Sergio Arribas,21,es ESP,"MF,FW",Almería,True,22.7,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True
Iddrisu Baba,27,gh GHA,MF,Almería,True,15.9,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
Alex Baena,22,es ESP,"MF,FW",Villarreal,True,28.7,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
Jonathan Bamba,27,ci CIV,"MF,FW",Celta Vigo,True,22.0,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
Pablo Barrios,20,es ESP,MF,Atlético Madrid,True,17.3,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
Jude Bellingham,20,eng ENG,MF,Real Madrid,True,25.7,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
Fran Beltrán,24,es ESP,MF,Celta Vigo,True,27.0,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False
Carlos Benavídez,25,uy URU,MF,Alavés,True,12.6,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
Antonio Blanco,23,es ESP,MF,Alavés,True,27.0,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
Eduardo Camavinga,20,fr FRA,"MF,DF",Real Madrid,True,20.2,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
Sergi Canós,26,es ESP,"MF,FW",Valencia,True,13.7,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
Étienne Capoue,35,fr FRA,MF,Villarreal,True,16.2,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Pathé Ciss,29,sn SEN,MF,Rayo Vallecano,True,18.5,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False
Santi Comesaña,26,es ESP,MF,Villarreal,True,18.4,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True
Samu Costa,22,pt POR,MF,Mallorca,True,25.6,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
Sergi Darder,29,es ESP,MF,Mallorca,True,24.0,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False
Rodrigo De Paul,29,ar ARG,MF,Atlético Madrid,True,23.1,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
Gonzalo Escalante,30,ar ARG,MF,Cádiz,True,18.9,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
Álex Fernández,30,es ESP,MF,Cádiz,True,14.3,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
Iñigo Ruiz de Galarreta,29,es ESP,MF,Athletic Club,True,23.2,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
Aleix García,26,es ESP,MF,Girona,True,35.5,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
Moi Gómez,29,es ESP,"MF,FW",Osasuna,True,22.3,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True
Mason Greenwood,21,eng ENG,"MF,FW",Getafe,True,29.6,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
Javier Guerra,20,es ESP,MF,Valencia,True,27.8,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
Ander Guevara,26,es ESP,MF,Alavés,True,32.6,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False
Hugo Guillamón,23,es ESP,MF,Valencia,True,14.6,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True
Gerard Gumbau,28,es ESP,MF,Granada,True,29.7,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
İlkay Gündoğan,32,de GER,MF,Barcelona,True,33.3,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
Jon Guridi,28,es ESP,MF,Alavés,True,29.8,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True
Ander Herrera,33,es ESP,MF,Athletic Club,True,11.4,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
Yangel Herrera,25,ve VEN,MF,Girona,True,23.4,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False
Pablo Ibáñez,24,es ESP,MF,Osasuna,True,12.8,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Isco,31,es ESP,MF,Betis,True,25.8,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
Frenkie de Jong,26,nl NED,MF,Barcelona,True,18.2,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
Koke,31,es ESP,MF,Atlético Madrid,True,27.7,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False
Toni Kroos,33,de GER,MF,Real Madrid,True,23.6,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
Luca de la Torre,25,us USA,MF,Celta Vigo,True,21.7,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
Marcos Llorente,28,es ESP,"MF,DF",Atlético Madrid,True,28.5,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
Enzo Loiodice,22,fr FRA,MF,Las Palmas,True,19.9,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False
Diego López,21,es ESP,"MF,FW",Valencia,True,29.5,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True
Fermin López,20,es ESP,"MF,FW",Barcelona,True,16.1,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True
Unai López,27,es ESP,MF,Rayo Vallecano,True,23.4,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
Dion Lopy,21,sn SEN,MF,Almería,True,21.3,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
Nemanja Maksimović,28,rs SRB,MF,Getafe,True,36.3,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
Iván Martín,24,es ESP,MF,Girona,True,30.3,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
Marvin,23,es ESP,"FW,DF",Las Palmas,True,20.6,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False
Omar Mascarell,30,gq EQG,MF,Mallorca,True,17.5,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
