"player","age","nationality","position","team","top5","minutes_90s","Creativo","Fulcro_di_Gioco","Lunga_Gittata","Incontrista","Cinico"
"Hugo Guillamón",23,"es ESP","MF","Valencia","True",14.6,-0.871943324074707,-0.73906654167938,-0.224385657218152,-0.620337458053371,2.89894381647766
"Gerard Gumbau",28,"es ESP","MF","Granada","True",29.7,-0.790289725626884,-0.303641188924124,1.59373182676448,-0.111545838046615,-0.95412554393494
"İlkay Gündoğan",32,"de GER","MF","Barcelona","True",33.3,0.457003315911771,1.55569342779509,2.03693431625441,-1.19957567403982,1.00273280266191
"Jon Guridi",28,"es ESP","MF","Alavés","True",29.8,-0.1244723866308,-0.369947941597482,-0.663837416574137,-0.748933713712459,0.555445855347155
"Ander Herrera",33,"es ESP","MF","Athletic Club","True",11.4,-0.660437309892335,0.899293927483389,-0.502311965822185,1.97004199819382,-1.05577050030988
"Yangel Herrera",25,"ve VEN","MF","Girona","True",23.4,0.12030868501921,-0.58527486185629,-0.748257310190517,0.753525291774411,0.454565463038662
"Pablo Ibáñez",24,"es ESP","MF","Osasuna","True",12.8,0.254564892328119,-0.128259849122183,-0.828144428577948,-0.282175512251421,0.00517225077959894
"Isco",31,"es ESP","MF","Betis","True",25.8,1.54382508723636,2.24155376786088,2.26228944670362,-0.735356155857997,0.92842893146151
"Frenkie de Jong",26,"nl NED","MF","Barcelona","True",18.2,-0.125885613493899,1.786166113736,-0.163767669265983,-0.0879047224198832,2.20401504888374
"Koke",31,"es ESP","MF","Atlético Madrid","True",27.7,-0.956319859786665,0.588662218680651,-0.550846150539384,0.818700011393372,-1.07150121936587
"Toni Kroos",33,"de GER","MF","Real Madrid","True",23.6,-0.986279218086773,2.70533648842737,1.50527660434674,0.373376267274104,-0.62446745373102
"Luca de la Torre",25,"us USA","MF","Celta Vigo","True",21.7,0.419840767698548,-0.461596497491537,-0.862138943445949,-0.0669716575547807,0.239436282237795
"Marcos Llorente",28,"es ESP","MF,DF","Atlético Madrid","True",28.5,0.670551227822138,-0.421219722850948,-0.585324146851272,-0.575453383426727,1.6346447535314
"Enzo Loiodice",22,"fr FRA","MF","Las Palmas","True",19.9,0.182737492717954,-0.192038775215984,-0.391584939642835,0.864090627881985,-0.772456718460965
"Diego López",21,"es ESP","MF,FW","Valencia","True",29.5,0.952698386530311,-0.274195304844828,-0.816856844891724,-0.700324997334228,0.568119371065138
"Fermin López",20,"es ESP","MF,FW","Barcelona","True",16.1,1.26793305278664,-0.248696511042066,-0.667592628270379,0.404740526581468,1.32963083093565
"Unai López",27,"es ESP","MF","Rayo Vallecano","True",23.4,-0.431707385765976,-0.270712984130927,0.708719428198142,0.306675184426996,-1.04847108186341
"Dion Lopy",21,"sn SEN","MF","Almería","True",21.3,-1.08515481454792,-0.580842517091146,-0.425305421764869,0.788882099798668,-0.927433126018678
