player,age,nationality,position,team,top5,minutes_90s,Spinta = Low,Spinta = Average,Spinta = High,Costruttore = Low,Costruttore = Average,Costruttore = High,Interventista = Low,Interventista = Average,Interventista = High,Lanci_Lunghi = Low,Lanci_Lunghi = Average,Lanci_Lunghi = High,Falloso = Low,Falloso = Average,Falloso = High
Stefan Savić,32,me MNE,DF,Atlético Madrid,True,18.1,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
Carl Starfelt,28,se SWE,DF,Celta Vigo,True,24.6,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
Álex Suárez,30,es ESP,DF,Las Palmas,True,28.5,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
Nahuel Tenaglia,27,ar ARG,DF,Alavés,True,12.7,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False
Kieran Tierney,26,sct SCO,DF,Real Sociedad,True,13.8,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
Hamari Traoré,31,ml MLI,DF,Real Sociedad,True,25.5,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
Martin Valjent,27,sk SVK,DF,Mallorca,True,26.1,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
Lucas Vázquez,32,es ESP,DF,Real Madrid,True,15.8,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
Daniel Vivian,24,es ESP,DF,Athletic Club,True,32.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
Axel Witsel,34,be BEL,DF,Atlético Madrid,True,30.9,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False
Igor Zubeldia,26,es ESP,DF,Real Sociedad,True,28.0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True
Yunis Abdelhamid,35,ma MAR,DF,Reims,True,30.9,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False
Emmanuel Agbadou,26,ci CIV,DF,Reims,True,28.8,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
Ruben Aguilar,30,fr FRA,DF,Lens,True,21.4,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False
Leonardo Balerdi,24,ar ARG,DF,Marseille,True,25.2,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
